crypto_pair,sell_drop_percent,trigger_percent,initial_capital,final_capital,buy_hold_return,trade_count,max_drawdown,sharpe_ratio
MANTA-USD,5,"0,09",1000,"801,825436201546","874,448336794771",2,"-0,234661606010089","-0,0375385414333392"
ALPACA-USD,5,"0,09",1000,"1151,16154000551","959,309915260767",6,"-0,0756542748614643","0,018043762271515"
GHST-USD,5,"0,07",1000,"1111,98550806801","1452,65483520356",8,"-0,098592758982236","0,0153701623643407"
RENDER-USD,25,"0,09",1000,"984,66020961394","1150,6674809287",2,"-0,184311814261131","-0,00122281427620266"
NULS-USD,5,"0,07",1000,"1012,58868779078","825,914146584665",3,"-0,0436813454585995","0,00446081155068082"
REEF-USD,"0,01","0,09",1000,"739,212483312246","764,893149458077",2,"-0,360960532335019","0,00714054890460014"
KSM-USD,5,"0,05",1000,"1014,91035761649","938,15217593811",2,"-0,0892749943568259","0,00507896737021545"
YFII-USD,15,"0,07",1000,"968,414058503818","966,182373065154",4,"-0,274003334528331","0,00231686330402362"
RPL-USD,"0,01","0,05",1000,"901,965907761929","945,379388143407",4,"-0,202074679989222","-0,0225485640602218"
ETHFI-USD,5,"0,07",1000,"1008,24460107846","884,936395194103",1,"-0,0515626202874273","0,00377150331634845"
FRONT-USD,25,"0,01",1000,"143,05440508739","1017,61913001976",6,"-0,947830275267039","0,0164944027649035"
BAR-USD,"0,01","0,03",1000,"1011,43591486197","977,197534224589",3,"-0,0353629052071232","0,00307420969773897"
APT-USD,5,"0,03",1000,1000,"993,098379497062",0,0,nan
DATA-USD,5,"0,07",1000,"991,53539830477","907,72613470378",4,"-0,0247237052672125","-0,00470285376550413"
PROM-USD,5,"0,01",1000,"976,522690328868","988,812118840787",6,"-0,0994576032916733","-0,00480018551524836"
VOXEL-USD,5,"0,05",1000,"849,895880542394","927,837193234978",2,"-0,18214091001867","-0,0291987097940732"
MAV-USD,"0,01","0,05",1000,"988,560692800862","897,803520609433",4,"-0,100074405033282","-0,00163595307911045"
AEUR-USD,5,"0,03",1000,1000,"998,675965496447",0,0,nan
UMA-USD,"0,02","0,07",1000,"881,861365416687","933,584462013228",2,"-0,319515356565549","-0,00967530397348578"
TRB-USD,5,"0,05",1000,"1041,71952755907","885,18656989819",4,"-0,066897188227441","0,0133651462389283"
SLF-USD,5,"0,05",1000,"942,525309847904","867,363193621668",5,"-0,137133954106612","-0,0091415463225523"
CELR-USD,"0,02","0,05",1000,"1051,89994654211","938,69194592313",2,"-0,0513340220144808","0,0196976574110183"
MOB-USD,25,"0,09",1000,"1018,73109148872","909,288942680504",1,"-0,0172456749940459","0,0134200003528859"
RIF-USD,"0,02","0,05",1000,"909,699106039171","967,131271939047",2,"-0,168972996114303","-0,0208287882421773"
FET-USD,25,"0,05",1000,"1110,30346887449","956,589111471178",2,"-0,0504198206942909","0,0284114951045184"
TRIBE-USD,5,"0,03",1000,1000,"944,847315791811",0,0,nan
NPXS-USD,"0,02","0,05",1000,"906,914925031184","967,407216351114",3,"-0,14789889326119","-0,00468971387186173"
AERGO-USD,15,"0,07",1000,"758,24151206741","754,478759495503",1,"-0,253002593531627","-0,0362476910359118"
MDX-USD,15,"0,09",1000,"610,94260815856","608,83252152561",1,"-0,532879406367735","0,00202862692887525"
SSV-USD,25,"0,05",1000,"852,292841742132","901,715136873452",3,"-0,23877281312871","-0,0246355703991417"
KMD-USD,5,"0,05",1000,"1019,14586447296","923,615178911942",4,"-0,0118922714939033","0,0134168145633769"
EOS-USD,15,"0,05",1000,"1312,43732350115","1191,2590183818",3,"-0,108131062500687","0,0379201836749185"
XLM-USD,5,"0,03",1000,"928,476251287884","1024,52262927111",6,"-0,134706205047264","-0,0158606802970474"
BANANAS31-USD,15,"0,05",1000,"2575,81661637407","2109,67715145176",28,"-0,243687714000565","0,035917905068433"
OMNI-USD,"0,01","0,01",1000,1000,"803,935475624314",0,0,nan
BNSOL-USD,5,"0,09",1000,"1022,74884319912","1009,4902923848",1,"-0,0787441302186305","0,00710914451321825"
IRIS-USD,"0,01","0,05",1000,"966,813501686302","915,080846966902",4,"-0,111650657612581","-0,000349690767018952"
ALGO-USD,5,"0,03",1000,"894,620363938514","1023,97133329172",6,"-0,170218387527167","-0,0207511207807341"
CETUS-USD,5,"0,05",1000,"838,871323317451","1043,77682115927",6,"-0,255406606605323","-0,0218385926024756"
ACT-USD,5,"0,01",1000,"1002,08334116924","940,153418721832",1,"-0,234940423240089","0,00321757908603955"
ENJ-USD,"0,01","0,05",1000,"1045,42722787941","950,839390181124",3,"-0,0377672885347091","0,0196748566220207"
DASH-USD,"0,02","0,07",1000,"902,737354372674","966,105753069155",1,"-0,141317194227753","-0,0189893932517003"
ETC-USD,5,"0,09",1000,1000,"968,280550090607",0,0,nan
BICO-USD,5,"0,05",1000,"902,213764956859","978,033060912287",4,"-0,194333259721055","-0,0261466824698879"
BERA-USD,"0,01","0,07",1000,"1058,70186016247","1227,84935443144",8,"-0,0392835269457516","0,0173499603994387"
JOE-USD,5,"0,07",1000,"1028,98434643252","956,124800114853",3,"-0,0209370325280648","0,0199777981483858"
JST-USD,5,"0,05",1000,"980,907187622465","1006,98990620369",1,"-0,0460480506829159","-0,0109052371886794"
WAN-USD,25,"0,03",1000,"908,571709625794","930,695363615187",2,"-0,153221908718922","-0,0165356824602837"
VEN-USD,5,"0,01",1000,1000,1000,0,0,nan
NKN-USD,"0,02","0,05",1000,"1007,92520535187","906,257639126022",1,"-0,0700879617123567","0,00263098336222009"
AIXBT-USD,"0,01","0,09",1000,"1186,55684975274","1092,77343540341",5,"-0,0849781313343469","0,0328215367435643"
KEY-USD,"0,01","0,07",1000,"1202,70765575994","1167,71035355832",5,"-0,170079582889366","0,0167312338194406"
AXS-USD,5,"0,05",1000,"836,882816356723","900,614466883512",3,"-0,215706004831411","-0,0509180637453526"
XAI-USD,5,"0,03",1000,"994,002240646426","1004,31735823804",1,"-0,0156616144859312","-0,00413048915866808"
GNS-USD,"0,01","0,03",1000,"1018,13136332367","897,451146884897",3,"-0,0407114572130549","0,00898134357272357"
SNT-USD,25,"0,05",1000,"948,26507398812","942,153085987431",4,"-0,148788827736486","-0,00604714517982443"
KAIA-USD,"0,01","0,07",1000,1000,"987,463778473693",0,0,nan
ATM-USD,5,"0,03",1000,"891,750298308733","975,374378501362",7,"-0,196555349460393","-0,0140266115470481"
WLD-USD,5,"0,03",1000,"863,86694397787","962,335402021324",12,"-0,211434663401335","-0,0288915628561091"
YFI-USD,"0,02","0,07",1000,"1009,29206371779","966,982946085389",1,"-0,0674516277871056","0,00327429006424993"
SUN-USD,15,"0,09",1000,"1006,99896918843","997,108427119563",1,"-0,0193443861006942","0,00422990360260609"
COMBO-USD,5,"0,07",1000,"98,3472116013342","113,695131660017",2,"-0,908055768058566","-0,0235948274671479"
CREAM-USD,5,"0,07",1000,"944,867380790175","870,680783835713",2,"-0,0651557120142558","-0,0190735052984184"
