index,Datetime,Open,High,Low,Close,Volume,trade_counter,local_min,trigger,triggered,buy_price,local_max,sell_target,sell_signal,capital,no_trade_capital
1000,2024-06-04,306.0,314.0,305.25,312.5,33440269,0,312.5,328.125,False,,,,False,1000.0,1000.0
1001,2024-06-05,312.25,313.0,302.75,306.25,43218700,0,306.25,321.5625,False,,,,False,1000.0,980.0
1002,2024-06-06,305.5,314.0,304.25,312.75,27854769,0,306.25,321.5625,False,,,,False,1000.0,1000.8000000000001
1003,2024-06-07,302.5,307.5,301.0,307.5,20682374,0,306.25,321.5625,False,,,,False,1000.0,984.0
1004,2024-06-10,299.75,302.5,299.0,300.25,19319106,0,300.25,315.2625,False,,,,False,1000.0,960.8000000000001
1005,2024-06-11,302.5,307.0,298.5,300.5,36835923,0,300.25,315.2625,False,,,,False,1000.0,961.6
1006,2024-06-12,305.0,307.25,301.0,302.25,36966572,0,300.25,315.2625,False,,,,False,1000.0,967.2
1007,2024-06-13,309.5,311.75,307.5,309.5,24134208,0,300.25,315.2625,False,,,,False,1000.0,990.4000000000001
1008,2024-06-14,311.75,315.0,309.75,313.25,29420180,0,300.25,315.2625,False,,,,False,1000.0,1002.4000000000001
1009,2024-06-20,316.0,316.25,310.0,315.25,39255358,0,300.25,315.2625,False,,,,False,1000.0,1008.8000000000001
1010,2024-06-21,316.0,316.75,313.75,316.0,30476761,1,300.25,315.2625,True,316.0,,,False,1000.0,1011.2
1011,2024-06-24,310.25,317.5,309.0,317.25,30082945,1,,,False,,317.25,310.905,False,1003.9556962025315,1015.2
1012,2024-06-25,305.75,311.0,305.5,310.5,27306032,1,,,False,,317.25,310.905,False,982.5949367088608,993.6
1013,2024-06-26,301.0,306.5,301.0,305.75,22618331,1,,,False,,317.25,310.905,False,967.5632911392405,978.4000000000001
1014,2024-06-27,305.75,307.5,302.5,302.5,23234871,1,,,False,,317.25,310.905,False,957.2784810126582,968.0
1015,2024-06-28,308.75,310.75,306.5,307.75,38137283,1,,,False,,317.25,310.905,False,973.8924050632911,984.8000000000001
1016,2024-07-01,295.75,310.5,293.0,310.0,45407891,1,,,False,,317.25,310.905,False,981.0126582278481,992.0
1017,2024-07-02,297.75,298.0,293.25,295.75,24290887,1,,,False,,317.25,310.905,False,935.9177215189874,946.4000000000001
1018,2024-07-03,303.25,303.5,297.75,299.0,30092887,1,,,False,,317.25,310.905,False,946.2025316455697,956.8000000000001
1019,2024-07-04,311.0,311.5,303.5,304.5,33671381,1,,,False,,317.25,310.905,False,963.6075949367089,974.4000000000001
1020,2024-07-05,308.0,313.25,307.25,311.0,29827422,1,,,False,,317.25,310.905,False,984.1772151898734,995.2
1021,2024-07-08,306.0,309.75,305.25,308.5,23101726,1,,,False,,317.25,310.905,False,976.2658227848101,987.2
1022,2024-07-09,310.75,311.75,306.25,306.75,37325340,1,,,False,,317.25,310.905,False,970.7278481012657,981.6
1023,2024-07-10,304.75,311.25,304.75,311.0,30531140,1,,,False,,317.25,310.905,False,984.1772151898734,995.2
1024,2024-07-11,310.0,310.0,307.0,307.25,26001104,1,,,False,,317.25,310.905,False,972.3101265822785,983.2
1025,2024-07-12,307.25,310.5,307.0,310.5,23966972,1,,,False,,317.25,310.905,False,982.5949367088608,993.6
1026,2024-07-16,307.5,309.75,307.0,308.0,25171747,1,,,False,,317.25,310.905,False,974.6835443037975,985.6
1027,2024-07-17,309.25,311.75,305.75,308.0,38206650,1,,,False,,317.25,310.905,False,974.6835443037975,985.6
1028,2024-07-18,316.5,318.5,311.0,311.0,45789387,1,,,False,,317.25,310.905,False,984.1772151898734,995.2
1029,2024-07-19,315.5,318.75,312.75,316.0,36619426,1,,,False,,317.25,310.905,False,1000.0,1011.2
1030,2024-07-22,309.75,317.0,309.75,316.0,27596166,1,,,False,,317.25,310.905,False,1000.0,1011.2
1031,2024-07-23,306.0,311.0,305.5,310.0,28899602,1,,,False,,317.25,310.905,False,981.0126582278481,992.0
1032,2024-07-24,305.0,307.75,303.75,306.25,22634121,1,,,False,,317.25,310.905,False,969.1455696202531,980.0
1033,2024-07-25,300.25,306.25,298.5,305.25,29953941,1,,,False,,317.25,310.905,False,965.9810126582279,976.8000000000001
1034,2024-07-26,301.5,303.5,300.5,300.75,16653480,1,,,False,,317.25,310.905,False,951.7405063291139,962.4000000000001
1035,2024-07-29,294.0,299.5,293.75,298.75,22278905,1,,,False,,317.25,310.905,False,945.4113924050633,956.0
1036,2024-07-30,293.5,297.0,292.5,294.5,25620856,1,,,False,,317.25,310.905,False,931.9620253164557,942.4000000000001
1037,2024-07-31,289.25,292.0,288.25,291.25,27502263,1,,,False,,317.25,310.905,False,921.6772151898734,932.0
1038,2024-08-01,297.5,298.25,293.0,293.0,21064407,1,,,False,,317.25,310.905,False,927.2151898734177,937.6
1039,2024-08-02,291.5,293.75,288.25,292.5,19507021,1,,,False,,317.25,310.905,False,925.6329113924052,936.0
1040,2024-08-05,277.0,280.75,271.25,271.25,33305862,1,,,False,,317.25,310.905,False,858.3860759493671,868.0
1041,2024-08-06,279.5,289.0,279.5,289.0,34068451,1,,,False,,317.25,310.905,False,914.5569620253165,924.8000000000001
1042,2024-08-07,298.0,300.0,282.5,282.5,41782573,1,,,False,,317.25,310.905,False,893.9873417721519,904.0
1043,2024-08-08,302.0,305.75,297.5,298.0,32386073,1,,,False,,317.25,310.905,False,943.0379746835443,953.6
1044,2024-08-09,301.75,308.0,300.5,306.5,25010646,1,,,False,,317.25,310.905,False,969.9367088607595,980.8000000000001
1045,2024-08-12,300.25,306.75,299.0,305.0,27721724,1,,,False,,317.25,310.905,False,965.1898734177215,976.0
1046,2024-08-13,297.75,300.75,292.25,300.25,26412277,1,,,False,,317.25,310.905,False,950.1582278481012,960.8000000000001
1047,2024-08-14,291.75,301.5,291.5,299.25,18953889,1,,,False,,317.25,310.905,False,946.993670886076,957.6
1048,2024-08-15,288.5,291.75,282.75,291.75,34055805,1,,,False,,317.25,310.905,False,923.2594936708861,933.6
1049,2024-08-16,293.5,299.25,292.5,296.0,38799466,1,,,False,,317.25,310.905,False,936.7088607594936,947.2
1050,2024-08-19,297.0,298.0,292.0,295.5,26825619,1,,,False,,317.25,310.905,False,935.126582278481,945.6
1051,2024-08-20,299.75,303.25,295.75,296.5,34477472,1,,,False,,317.25,310.905,False,938.2911392405064,948.8000000000001
1052,2024-08-21,297.75,303.0,296.25,299.75,23463737,1,,,False,,317.25,310.905,False,948.5759493670886,959.2
1053,2024-08-22,294.5,301.5,294.5,300.0,24952855,1,,,False,,317.25,310.905,False,949.3670886075948,960.0
1054,2024-08-23,295.0,299.0,291.0,294.75,31205050,1,,,False,,317.25,310.905,False,932.753164556962,943.2
1055,2024-08-26,288.75,297.25,288.75,296.5,22083752,1,,,False,,317.25,310.905,False,938.2911392405064,948.8000000000001
1056,2024-08-27,297.75,298.25,287.75,288.75,25541295,1,,,False,,317.25,310.905,False,913.7658227848101,924.0
1057,2024-08-28,302.25,304.5,297.5,297.75,29852124,1,,,False,,317.25,310.905,False,942.246835443038,952.8000000000001
1058,2024-08-29,300.5,303.0,298.25,302.0,25703034,1,,,False,,317.25,310.905,False,955.6962025316456,966.4000000000001
1059,2024-09-02,308.5,309.75,301.75,302.0,34729004,1,,,False,,317.25,310.905,False,955.6962025316456,966.4000000000001
1060,2024-09-03,302.75,309.25,301.75,308.0,23411840,1,,,False,,317.25,310.905,False,974.6835443037975,985.6
1061,2024-09-04,301.0,301.5,298.25,300.25,19799342,1,,,False,,317.25,310.905,False,950.1582278481012,960.8000000000001
1062,2024-09-05,296.75,303.25,295.75,302.25,23092345,1,,,False,,317.25,310.905,False,956.4873417721519,967.2
1063,2024-09-06,294.25,298.75,294.0,297.0,20468462,1,,,False,,317.25,310.905,False,939.873417721519,950.4000000000001
1064,2024-09-09,289.0,294.5,289.0,293.25,24892932,1,,,False,,317.25,310.905,False,928.006329113924,938.4000000000001
1065,2024-09-10,284.0,291.0,283.75,290.0,28335939,1,,,False,,317.25,310.905,False,917.7215189873418,928.0
1066,2024-09-11,280.0,286.5,280.0,284.25,21805515,1,,,False,,317.25,310.905,False,899.5253164556963,909.6
1067,2024-09-12,286.25,289.25,281.5,284.25,39046318,1,,,False,,317.25,310.905,False,899.5253164556963,909.6
1068,2024-09-13,292.25,292.25,283.25,287.5,24404734,1,,,False,,317.25,310.905,False,909.8101265822785,920.0
1069,2024-09-16,286.25,292.0,285.75,291.75,17210152,1,,,False,,317.25,310.905,False,923.2594936708861,933.6
1070,2024-09-17,290.5,293.75,287.25,287.25,25446750,1,,,False,,317.25,310.905,False,909.0189873417721,919.2
1071,2024-09-18,291.5,293.5,289.75,290.25,19884166,1,,,False,,317.25,310.905,False,918.5126582278481,928.8000000000001
1072,2024-09-19,301.0,301.25,293.0,294.75,30539856,1,,,False,,317.25,310.905,False,932.753164556962,943.2
1073,2024-09-20,299.5,301.5,298.0,300.75,20237710,1,,,False,,317.25,310.905,False,951.7405063291139,962.4000000000001
1074,2024-09-23,296.0,302.75,295.25,301.0,23543000,1,,,False,,317.25,310.905,False,952.5316455696202,963.2
1075,2024-09-24,296.25,300.0,294.75,296.0,39566662,1,,,False,,317.25,310.905,False,936.7088607594936,947.2
1076,2024-09-25,291.25,297.5,291.25,296.75,25711329,1,,,False,,317.25,310.905,False,939.0822784810126,949.6
1077,2024-09-26,291.25,297.0,290.5,293.25,28959484,1,,,False,,317.25,310.905,False,928.006329113924,938.4000000000001
1078,2024-09-27,292.25,294.5,290.25,292.25,19847298,1,,,False,,317.25,310.905,False,924.8417721518988,935.2
1079,2024-09-30,285.0,291.75,284.75,291.75,21334664,1,,,False,,317.25,310.905,False,923.2594936708861,933.6
1080,2024-10-01,277.75,287.0,274.25,285.25,34658869,1,,,False,,317.25,310.905,False,902.6898734177215,912.8000000000001
1081,2024-10-02,271.5,281.75,271.25,277.0,37339145,1,,,False,,317.25,310.905,False,876.5822784810126,886.4000000000001
1082,2024-10-03,268.75,277.5,268.75,272.0,27014849,1,,,False,,317.25,310.905,False,860.7594936708861,870.4000000000001
1083,2024-10-04,273.75,274.75,270.0,271.0,25552239,1,,,False,,317.25,310.905,False,857.5949367088608,867.2
1084,2024-10-07,270.5,275.5,269.5,274.75,19065238,1,,,False,,317.25,310.905,False,869.4620253164557,879.2
1085,2024-10-08,270.75,272.5,268.75,270.0,24186666,1,,,False,,317.25,310.905,False,854.4303797468355,864.0
1086,2024-10-09,270.25,271.25,265.0,270.75,23956358,1,,,False,,317.25,310.905,False,856.8037974683544,866.4000000000001
1087,2024-10-10,266.5,272.5,266.5,271.25,16761536,1,,,False,,317.25,310.905,False,858.3860759493671,868.0
1088,2024-10-11,264.75,271.0,263.75,267.0,17775777,1,,,False,,317.25,310.905,False,844.9367088607595,854.4000000000001
1089,2024-10-14,257.75,265.0,257.5,264.75,19868260,1,,,False,,317.25,310.905,False,837.8164556962025,847.2
1090,2024-10-15,268.0,268.75,257.5,257.75,30713391,1,,,False,,317.25,310.905,False,815.6645569620254,824.8000000000001
1091,2024-10-16,269.25,270.0,264.0,267.0,19268275,1,,,False,,317.25,310.905,False,844.9367088607595,854.4000000000001
1092,2024-10-17,273.5,275.0,269.25,269.5,24972591,1,,,False,,317.25,310.905,False,852.8481012658228,862.4000000000001
1093,2024-10-18,268.0,275.0,266.75,273.75,20698103,1,,,False,,317.25,310.905,False,866.2974683544303,876.0
1094,2024-10-21,269.5,272.0,266.25,268.0,24074749,1,,,False,,317.25,310.905,False,848.1012658227847,857.6
1095,2024-10-22,274.75,276.5,269.5,270.5,26819572,1,,,False,,317.25,310.905,False,856.0126582278481,865.6
1096,2024-10-23,267.75,275.25,267.25,275.25,24305349,1,,,False,,317.25,310.905,False,871.0443037974684,880.8000000000001
1097,2024-10-24,273.75,274.5,270.0,270.0,18918442,1,,,False,,317.25,310.905,False,854.4303797468355,864.0
1098,2024-10-25,276.0,276.75,271.75,272.75,17216815,1,,,False,,317.25,310.905,False,863.1329113924052,872.8000000000001
1099,2024-10-28,278.0,280.0,276.25,278.5,7035135,1,,,False,,317.25,310.905,False,881.3291139240507,891.2
1100,2024-10-30,277.5,280.0,276.5,277.75,14799003,1,,,False,,317.25,310.905,False,878.9556962025316,888.8000000000001
1101,2024-10-31,272.5,279.0,272.5,277.75,14473937,1,,,False,,317.25,310.905,False,878.9556962025316,888.8000000000001
1102,2024-11-01,273.0,274.75,271.5,273.0,19991989,1,,,False,,317.25,310.905,False,863.9240506329114,873.6
1103,2024-11-04,268.5,273.0,267.0,272.0,18418359,1,,,False,,317.25,310.905,False,860.7594936708861,870.4000000000001
1104,2024-11-05,272.25,273.75,270.25,272.25,31196076,1,,,False,,317.25,310.905,False,861.5506329113924,871.2
1105,2024-11-06,277.25,281.0,270.0,273.0,30758235,1,,,False,,317.25,310.905,False,863.9240506329114,873.6
1106,2024-11-07,282.75,283.0,276.0,278.25,24069867,1,,,False,,317.25,310.905,False,880.5379746835443,890.4000000000001
1107,2024-11-08,290.25,290.5,281.5,282.0,23348584,1,,,False,,317.25,310.905,False,892.4050632911392,902.4000000000001
1108,2024-11-11,288.0,291.25,286.5,290.75,21162079,1,,,False,,317.25,310.905,False,920.0949367088608,930.4000000000001
1109,2024-11-12,286.5,290.75,286.25,289.5,20609050,1,,,False,,317.25,310.905,False,916.1392405063291,926.4000000000001
1110,2024-11-13,283.75,288.0,282.0,286.0,31922085,1,,,False,,317.25,310.905,False,905.0632911392405,915.2
1111,2024-11-14,286.5,289.0,284.0,285.5,28667480,1,,,False,,317.25,310.905,False,903.4810126582279,913.6
1112,2024-11-15,289.75,293.75,287.0,287.75,40033524,1,,,False,,317.25,310.905,False,910.6012658227847,920.8000000000001
1113,2024-11-18,288.75,292.5,287.0,291.0,26338290,1,,,False,,317.25,310.905,False,920.8860759493671,931.2
1114,2024-11-19,279.0,290.25,278.0,289.5,30459346,1,,,False,,317.25,310.905,False,916.1392405063291,926.4000000000001
1115,2024-11-20,271.0,281.75,269.5,280.5,28212777,1,,,False,,317.25,310.905,False,887.6582278481012,897.6
1116,2024-11-21,279.75,279.75,271.0,272.0,23938681,1,,,False,,317.25,310.905,False,860.7594936708861,870.4000000000001
1117,2024-11-22,279.5,281.0,276.5,279.5,24811970,1,,,False,,317.25,310.905,False,884.493670886076,894.4000000000001
1118,2024-11-25,296.25,300.25,281.0,281.5,61855170,1,,,False,,317.25,310.905,False,890.8227848101266,900.8000000000001
1119,2024-11-26,294.0,296.5,291.25,296.0,31270250,1,,,False,,317.25,310.905,False,936.7088607594936,947.2
1120,2024-11-27,292.5,299.75,292.25,299.25,35199151,1,,,False,,317.25,310.905,False,946.993670886076,957.6
1121,2024-11-28,287.25,291.25,284.25,291.0,26994739,1,,,False,,317.25,310.905,False,920.8860759493671,931.2
1122,2024-11-29,285.0,287.75,283.5,287.25,29697434,1,,,False,,317.25,310.905,False,909.0189873417721,919.2
1123,2024-12-02,285.5,286.75,282.5,284.5,33276590,1,,,False,,317.25,310.905,False,900.3164556962025,910.4000000000001
1124,2024-12-03,287.0,290.5,284.0,286.25,28304567,1,,,False,,317.25,310.905,False,905.8544303797469,916.0
1125,2024-12-04,289.0,291.75,287.75,288.5,27748059,1,,,False,,317.25,310.905,False,912.9746835443037,923.2
1126,2024-12-05,293.5,295.0,290.0,290.5,33995219,1,,,False,,317.25,310.905,False,919.3037974683544,929.6
1127,2024-12-06,300.5,300.5,293.5,296.0,35655051,1,,,False,,317.25,310.905,False,936.7088607594936,947.2
1128,2024-12-09,300.5,304.0,299.25,303.75,23749386,1,,,False,,317.25,310.905,False,961.2341772151899,972.0
1129,2024-12-10,299.25,305.0,297.75,300.5,40376517,1,,,False,,317.25,310.905,False,950.9493670886076,961.6
1130,2024-12-11,301.25,303.0,297.25,299.5,30996824,1,,,False,,317.25,310.905,False,947.7848101265823,958.4000000000001
1131,2024-12-12,298.5,304.25,296.75,303.0,21407493,1,,,False,,317.25,310.905,False,958.8607594936709,969.6
1132,2024-12-13,299.25,299.5,294.25,297.75,22432206,1,,,False,,317.25,310.905,False,942.246835443038,952.8000000000001
1133,2024-12-16,295.5,300.75,295.5,300.25,21406432,1,,,False,,317.25,310.905,False,950.1582278481012,960.8000000000001
1134,2024-12-17,297.75,300.5,293.0,295.5,28508478,1,,,False,,317.25,310.905,False,935.126582278481,945.6
1135,2024-12-18,290.5,297.75,290.25,297.0,24216068,1,,,False,,317.25,310.905,False,939.873417721519,950.4000000000001
1136,2024-12-19,289.5,293.0,287.75,288.5,25167342,1,,,False,,317.25,310.905,False,912.9746835443037,923.2
1137,2024-12-20,289.75,291.25,287.75,289.5,21909897,1,,,False,,317.25,310.905,False,916.1392405063291,926.4000000000001
1138,2024-12-23,286.0,292.5,285.0,290.25,20606277,1,,,False,,317.25,310.905,False,918.5126582278481,928.8000000000001
1139,2024-12-24,285.5,287.25,283.25,286.0,15485512,1,,,False,,317.25,310.905,False,905.0632911392405,915.2
1140,2024-12-25,288.25,289.75,287.75,289.0,12283659,1,,,False,,317.25,310.905,False,914.5569620253165,924.8000000000001
1141,2024-12-26,290.0,293.25,288.0,289.5,27141490,1,,,False,,317.25,310.905,False,916.1392405063291,926.4000000000001
1142,2024-12-27,290.75,293.25,289.75,290.25,23638402,1,,,False,,317.25,310.905,False,918.5126582278481,928.8000000000001
1143,2024-12-30,282.25,291.5,282.25,291.25,20734285,1,,,False,,317.25,310.905,False,921.6772151898734,932.0
1144,2024-12-31,281.0,285.75,278.75,282.5,26585935,1,,,False,,317.25,310.905,False,893.9873417721519,904.0
1145,2025-01-02,287.5,287.5,281.25,282.25,25569193,1,,,False,,317.25,310.905,False,893.1962025316456,903.2
1146,2025-01-03,298.0,299.75,288.0,288.25,40123161,1,,,False,,317.25,310.905,False,912.1835443037975,922.4000000000001
1147,2025-01-06,297.0,300.0,295.25,299.5,28979311,1,,,False,,317.25,310.905,False,947.7848101265823,958.4000000000001
1148,2025-01-07,293.5,298.25,293.0,296.0,27531422,1,,,False,,317.25,310.905,False,936.7088607594936,947.2
1149,2025-01-08,293.0,295.0,291.0,293.0,24336195,1,,,False,,317.25,310.905,False,927.2151898734177,937.6
1150,2025-01-09,294.75,297.5,292.5,294.5,23214174,1,,,False,,317.25,310.905,False,931.9620253164557,942.4000000000001
1151,2025-01-10,293.5,297.75,292.5,295.25,24514821,1,,,False,,317.25,310.905,False,934.3354430379746,944.8000000000001
1152,2025-01-13,289.75,294.5,287.25,292.75,19087499,1,,,False,,317.25,310.905,False,926.4240506329114,936.8000000000001
1153,2025-01-14,293.5,295.25,290.0,291.25,26352017,1,,,False,,317.25,310.905,False,921.6772151898734,932.0
1154,2025-01-15,295.0,298.5,292.25,293.5,35506445,1,,,False,,317.25,310.905,False,928.7974683544303,939.2
1155,2025-01-16,297.75,300.25,295.0,299.0,33591167,1,,,False,,317.25,310.905,False,946.2025316455697,956.8000000000001
1156,2025-01-17,303.5,303.75,296.25,298.0,35667354,1,,,False,,317.25,310.905,False,943.0379746835443,953.6
1157,2025-01-20,305.75,306.0,301.75,305.0,27879358,1,,,False,,317.25,310.905,False,965.1898734177215,976.0
1158,2025-01-21,301.25,305.5,299.75,304.25,24194618,1,,,False,,317.25,310.905,False,962.8164556962025,973.6
1159,2025-01-22,305.25,305.75,300.5,301.75,23395068,1,,,False,,317.25,310.905,False,954.9050632911392,965.6
1160,2025-01-23,309.75,311.75,303.0,306.0,38920626,1,,,False,,317.25,310.905,False,968.3544303797469,979.2
1161,2025-01-24,309.0,311.0,306.0,310.0,25724625,1,,,False,,317.25,310.905,False,981.0126582278481,992.0
1162,2025-01-27,306.5,312.5,304.75,307.25,44353911,1,,,False,,317.25,310.905,False,972.3101265822785,983.2
1163,2025-01-28,311.75,312.75,304.75,307.0,37742137,1,,,False,,317.25,310.905,False,971.5189873417721,982.4000000000001
1164,2025-01-29,313.0,314.5,309.0,311.75,32487977,1,,,False,,317.25,310.905,False,986.5506329113924,997.6
1165,2025-01-30,313.0,316.5,312.0,313.25,30495540,1,,,False,,317.25,310.905,False,991.2974683544303,1002.4000000000001
1166,2025-01-31,317.0,317.75,313.0,313.25,32123757,1,,,False,,317.25,310.905,False,991.2974683544303,1002.4000000000001
1167,2025-02-03,313.75,318.0,311.75,315.0,35289967,1,,,False,,317.25,310.905,False,996.8354430379746,1008.0
1168,2025-02-04,303.5,316.25,303.25,314.75,39064740,1,,,False,,317.25,310.905,False,996.0443037974684,1007.2
1169,2025-02-05,303.75,306.75,297.5,304.25,37613460,1,,,False,,317.25,310.905,False,962.8164556962025,973.6
1170,2025-02-06,313.5,316.25,306.5,306.5,38126039,1,,,False,,317.25,310.905,False,969.9367088607595,980.8000000000001
