crypto_pair,sell_drop_percent,trigger_percent,initial_capital,final_capital,buy_hold_return,trade_count,max_drawdown,sharpe_ratio,in_tade
DNT-USD,0.02,0.09,1000,367.82847258493945,309.71208499756693,2,-0.6572779508846589,-0.012360975040153736,True
DGB-USD,0.01,0.03,1000,641.9982981639778,585.3262279960821,6,-0.6428269431110585,0.006772243267811646,True
AVA-USD,0.025,0.01,1000,1460.820362685179,580.9201313794756,7,-0.6257391813884245,0.03960396126143767,True
SLP-USD,0.005,0.09,1000,627.6546520826747,353.5235289207275,13,-0.7082348049824222,-0.01560540713161477,True
DASH-USD,0.025,0.09,1000,679.3513336575296,539.413377914826,4,-0.6100521132072864,-0.010168460782916848,True
LTO-USD,0.005,0.07,1000,167.34476488972408,113.47063726470114,5,-0.8609263743957238,-0.07210395285260729,True
ELF-USD,0.015,0.05,1000,459.8800568479452,362.4718401271007,4,-0.7074099078527395,-0.013466613956411893,True
BURGER-USD,0.015,0.07,1000,35.176013664619845,29.13909413783924,13,-0.9880180085233486,-0.06394854314779405,True
ATM-USD,0.025,0.01,1000,340.7584729916898,322.5018393625779,2,-0.7111757293004232,-0.066182228639909,True
HBAR-USD,0.025,0.01,1000,2652.0697508763224,1637.510900034261,14,-0.6125262369057871,0.06740155002183072,True
ZRX-USD,0.01,0.03,1000,849.2143361485062,345.9995235856178,13,-0.5688133908072035,0.011454028029588965,True
RSR-USD,0.025,0.01,1000,2165.426371103543,814.1205309786145,8,-0.6736387494035628,0.05478187265527461,True
CHESS-USD,0.025,0.07,1000,563.1825710487094,476.2787425196433,8,-0.638750735527128,-0.013090264199173368,True
LSK-USD,0.01,0.03,1000,251.2919372706564,243.2274762570594,6,-0.8141963991573778,-0.06550020747124412,True
XVS-USD,0.02,0.09,1000,699.8076761617773,495.0031510608741,12,-0.6267844068836946,-0.004484342183676166,True
GAS-USD,0.015,0.01,1000,465.68500775444653,481.36421494544317,2,-0.736920755245797,-0.014528300592596629,True
DOGE-USD,0.01,0.09,1000,1417.8271394957667,768.2461248851494,16,-0.5619429307529102,0.044106851797385375,True
FTM-USD,0.02,0.01,1000,1501.093478876215,1982.304440733067,10,-0.7633963399597267,0.048937594545294505,True
BAR-USD,0.025,0.03,1000,639.9311457491706,590.6149680413638,2,-0.44201649351662287,-0.02247901940226026,True
SXP-USD,0.025,0.01,1000,510.35323625081605,363.5667998708207,6,-0.6229727182646507,-0.01110901965212332,True
